Participant_id	Melody	Singing voice	Rhythm	Lyrics	Mood	Tempo	Harmony	Sentiment	Instruments	Danceability
216	5	5	3	5	5	5	5	4	4	1
217	4	4	4	4	4	4	4	4	3	4
218	2	2	3	1	4	3	2	1	4	2
219	4	4	3	4	3	3	3	2	2	1
220	4	3	4	2	3	4	1	1	1	1
221	3	4	4	5	4	2	2	2	4	2
222	4	2	3	3	2	4	2	1	3	1
223	3	2	3	2	3	2	2	2	2	2
224	3	3	3	4	3	3	2	3	2	2
225	3	4	3	1	5	4	4	5	1	4
226	5	5	5	5	3	5	3	1	2	4
227	5	4	5	2	3	3	2	1	5	1
228	3	4	1	1	1	1	1	1	1	1
229	4	4	3	2	3	4	3	3	2	2
230	4	4	4	5	5	3	4	1	5	3
231	4	2	4	2	3	3	5	3	5	1
232	4	3	5	2	4	4	2	1	2	1
233	5	3	5	3	4	3	4	3	3	1
234	5	5	5	5	5	5	5	5	1	1
235	3	4	3	3	3	2	3	3	4	1
236	2	5	1	4	3	1	2	4	1	2
237	3	3	3	3	3	3	2	3	1	1
238	3	4	1	3	3	1	2	4	1	1
239	4	5	3	4	4	3	2	3	2	3
240	4	5	5	4	5	5	4	3	3	4
241	4	3	4	4	2	3	3	2	3	3
242	5	5	4	3	3	3	3	3	4	3
243	5	5	3	5	5	3	4	5	2	1
244	5	5	3	5	4	4	2	5	4	1
245	3	3	3	3	3	3	3	3	3	2
246	5	3	5	3	1	5	4	1	1	1
247	4	5	2	4	4	3	2	5	2	1
248	4	5	4	5	4	3	3	5	3	2
249	5	5	2	3	3	2	3	2	2	1
250	4	4	4	3	3	1	3	2	3	1
251	5	5	3	2	2	2	2	3	2	1
252	5	5	3	3	2	3	3	1	4	1
253	2	4	5	1	3	4	2	4	2	1
254	2	4	2	3	2	2	2	2	1	1
255	3	3	3	3	2	3	2	2	3	5
256	5	5	2	2	5	3	3	3	5	1
257	5	2	5	5	3	4	4	4	5	1
258	4	4	4	2	5	2	1	1	3	2
259	5	1	2	3	1	3	1	1	2	1
260	3	5	3	4	4	3	4	1	4	1
261	4	5	5	3	4	3	4	3	5	5
262	5	2	4	1	2	3	2	4	2	1
263	5	5	4	2	4	4	5	3	4	2
264	4	5	1	1	1	1	1	1	5	1
265	3	4	4	5	2	3	2	4	1	1
266	5	4	5	3	4	4	1	1	1	1
267	5	5	4	1	4	4	1	4	4	1
268	1	5	2	1	5	1	1	1	1	1
269	5	3	4	3	3	3	4	2	3	2
270	4	4	4	3	3	3	4	2	4	2
271	5	4	4	4	3	3	1	1	1	1
272	5	5	3	4	1	4	4	1	3	1
273	5	3	3	3	4	3	3	3	2	3
274	4	4	2	4	4	2	3	2	2	2
275	1	1	1	1	1	1	1	1	1	1
276	4	4	3	2	3	3	2	1	2	2
277	5	4	4	1	3	4	3	3	1	1
278	4	4	3	4	4	3	4	3	4	2
279	5	3	3	4	3	3	3	3	3	3
280	5	3	4	1	1	4	3	1	1	1
281	4	4	4	5	4	4	3	2	2	2
282	5	5	4	4	2	4	3	4	3	1
283	5	5	4	2	3	3	3	3	1	1
